Geographic Area,2017,2018,2019
"Independence County, Arkansas",37391,37768,37825
"Izard County, Arkansas",13666,13582,13629
"Jackson County, Arkansas",17017,16753,16719
"Jefferson County, Arkansas",69238,68067,66824
"Johnson County, Arkansas",26401,26659,26578
"Lafayette County, Arkansas",6797,6679,6624
"Lawrence County, Arkansas",16571,16432,16406
"Lee County, Arkansas",9127,8976,8857
"Lincoln County, Arkansas",13475,13184,13024
"Little River County, Arkansas",12373,12297,12259
"Logan County, Arkansas",21739,21673,21466
"Lonoke County, Arkansas",72778,73391,73309
"Madison County, Arkansas",16299,16362,16576
"Marion County, Arkansas",16429,16665,16694
"Miller County, Arkansas",43736,43362,43257
"Mississippi County, Arkansas",42112,41236,40651
"Monroe County, Arkansas",7013,6880,6701
"Montgomery County, Arkansas",8890,8910,8986
"Nevada County, Arkansas",8309,8308,8252
"Newton County, Arkansas",7815,7800,7753
"Ouachita County, Arkansas",23817,23620,23382
"Perry County, Arkansas",10346,10380,10455
"Phillips County, Arkansas",18599,18054,17782
"Pike County, Arkansas",10735,10666,10718
"Poinsett County, Arkansas",24071,23903,23528
"Polk County, Arkansas",20147,20019,19964
"Pope County, Arkansas",63634,63594,64072
"Prairie County, Arkansas",8248,8082,8062
"Pulaski County, Arkansas",393280,391918,391911
"Randolph County, Arkansas",17665,17970,17958
"St. Francis County, Arkansas",25997,25509,24994
"Saline County, Arkansas",119520,121074,122437
"Scott County, Arkansas",10369,10339,10281
"Searcy County, Arkansas",7927,7930,7881
"Sebastian County, Arkansas",127786,127570,127827
"Sevier County, Arkansas",17103,17061,17007
"Sharp County, Arkansas",17147,17290,17442
"Stone County, Arkansas",12520,12454,12506
"Union County, Arkansas",39460,39139,38682
"Van Buren County, Arkansas",16552,16635,16545
"Washington County, Arkansas",232732,236611,239187
"White County, Arkansas",78844,78381,78753
"Woodruff County, Arkansas",6575,6466,6320
"Yell County, Arkansas",21509,21462,21341
"Alameda County, California",1660196,1666756,1671329
"Alpine County, California",1111,1089,1129
"Amador County, California",38529,39405,39752
"Butte County, California",228696,230339,219186
"Calaveras County, California",45681,45698,45905
"Colusa County, California",21579,21418,21547
"Contra Costa County, California",1145535,1150519,1153526
"Del Norte County, California",27351,27740,27812
"El Dorado County, California",188679,190746,192843
"Fresno County, California",985238,991950,999101
"Glenn County, California",27926,27967,28393
"Humboldt County, California",136507,136244,135558
"Imperial County, California",181649,181523,181215
"Inyo County, California",17868,17946,18039
"Kern County, California",887356,893758,900202
"Kings County, California",149665,151382,152940
"Lake County, California",64111,64317,64386
"Lassen County, California",30920,30618,30573
"Los Angeles County, California",10103711,10073906,10039107
"Madera County, California",155423,156882,157327
"Marin County, California",259749,259662,258826
"Mariposa County, California",17414,17405,17203
"Mendocino County, California",87576,87401,86749
"Merced County, California",271096,274151,277680
"Modoc County, California",8876,8800,8841
"Mono County, California",14354,14403,14444
"Monterey County, California",434534,433950,434061
"Napa County, California",139878,138789,137744
"Nevada County, California",99367,99508,99755
"Orange County, California",3174289,3175973,3175692
"Placer County, California",385115,392330,398329
"Plumas County, California",18660,18741,18807
"Riverside County, California",2414964,2445789,2470546
"Sacramento County, California",1527301,1538746,1552058
"San Benito County, California",60164,61467,62808
"San Bernardino County, California",2150945,2166753,2180085
"San Diego County, California",3321237,3333861,3338330
"San Francisco County, California",878040,880696,881549
"San Joaquin County, California",743296,752491,762148
"San Luis Obispo County, California",282481,283354,283111
"San Mateo County, California",768901,768681,766573
"Santa Barbara County, California",445298,445780,446499
"Santa Clara County, California",1932510,1932337,1927852
"Santa Cruz County, California",274856,273841,273213
"Shasta County, California",179384,179709,180080
"Sierra County, California",3002,2997,3005
"Siskiyou County, California",43622,43550,43539
"Solano County, California",443511,445725,447643
"Sonoma County, California",502469,498643,494336
"Stanislaus County, California",544717,548126,550660
"Sutter County, California",96204,96348,96971
"Tehama County, California",63847,64018,65084
"Trinity County, California",12726,12567,12285
"Tulare County, California",462308,464589,466195
"Tuolumne County, California",53976,54387,54478
"Ventura County, California",849044,848142,846006
"Yolo County, California",218477,220118,220500
"Yuba County, California",76578,77557,78668
"Adams County, Colorado",503590,511354,517421
"Alamosa County, Colorado",16108,16248,16233
"Arapahoe County, Colorado",644478,651797,656590
"Archuleta County, Colorado",13295,13730,14029
"Baca County, Colorado",3554,3584,3581
"Bent County, Colorado",5827,5808,5577
"Boulder County, Colorado",322441,324636,326196
"Broomfield County, Colorado",68263,69324,70465
"Chaffee County, Colorado",19666,20041,20356
"Cheyenne County, Colorado",1853,1859,1831
"Clear Creek County, Colorado",9574,9604,9700
"Conejos County, Colorado",8139,8181,8205
"Costilla County, Colorado",3756,3812,3887
"Crowley County, Colorado",5840,5957,6061
"Custer County, Colorado",4857,4934,5068
"Delta County, Colorado",30519,30884,31162
"Denver County, Colorado",704961,716265,727211
"Dolores County, Colorado",2045,2060,2055
"Douglas County, Colorado",335816,342989,351154
"Eagle County, Colorado",54929,54943,55127
"Elbert County, Colorado",25765,26303,26729
"El Paso County, Colorado",700099,712089,720403
"Fremont County, Colorado",47548,47959,47839
"Garfield County, Colorado",59032,59701,60061
"Gilpin County, Colorado",6018,6112,6243
"Grand County, Colorado",15364,15511,15734
"Gunnison County, Colorado",16863,17167,17462
"Hinsdale County, Colorado",791,808,820
"Huerfano County, Colorado",6628,6887,6897
"Jackson County, Colorado",1375,1395,1392
"Jefferson County, Colorado",575417,579392,582881
"Kiowa County, Colorado",1365,1379,1406
"Kit Carson County, Colorado",7137,7159,7097
"Lake County, Colorado",7750,7846,8127
"La Plata County, Colorado",55563,56299,56221
"Larimer County, Colorado",344084,350660,356899
"Las Animas County, Colorado",14201,14508,14506
"Lincoln County, Colorado",5523,5606,5701
"Logan County, Colorado",22317,22268,22409
"Mesa County, Colorado",151170,152951,154210
"Mineral County, Colorado",753,772,769
"Moffat County, Colorado",13088,13183,13283
"Montezuma County, Colorado",26112,26152,26183
"Montrose County, Colorado",41753,42206,42758
"Morgan County, Colorado",28295,28769,29068
"Otero County, Colorado",18345,18338,18278
"Ouray County, Colorado",4813,4822,4952
"Park County, Colorado",17894,18525,18845
"Phillips County, Colorado",4288,4285,4265
"Pitkin County, Colorado",17973,17976,17767
"Prowers County, Colorado",11998,12079,12172
"Pueblo County, Colorado",166283,167422,168424
"Rio Blanco County, Colorado",6352,6330,6324
"Rio Grande County, Colorado",11297,11271,11267
"Routt County, Colorado",25171,25507,25638
"Saguache County, Colorado",6633,6840,6824
"San Juan County, Colorado",712,764,728
"San Miguel County, Colorado",8034,8180,8179
"Sedgwick County, Colorado",2311,2276,2248
"Summit County, Colorado",30820,30817,31011
"Teller County, Colorado",24674,25113,25388
"Washington County, Colorado",4921,4888,4908
"Weld County, Colorado",305885,314815,324492
"Yuma County, Colorado",9959,9947,10019
"Fairfield County, Connecticut",943038,943971,943332
"Hartford County, Connecticut",893076,892580,891720
"Litchfield County, Connecticut",181667,181095,180333
"Middlesex County, Connecticut",162942,162870,162436
"New Haven County, Connecticut",857748,856971,854757
"New London County, Connecticut",267419,266285,265206
"Tolland County, Connecticut",151009,150689,150721
"Windham County, Connecticut",116398,117059,116782
"Kent County, Delaware",176499,178540,180786
"New Castle County, Delaware",555976,557550,558753
"Sussex County, Delaware",224348,229389,234225
"District of Columbia, District of Columbia",694906,701547,705749
"Alachua County, Florida",266309,268851,269043
"Baker County, Florida",28254,28353,29210
"Bay County, Florida",184736,186240,174705
"Bradford County, Florida",27142,27752,28201
"Brevard County, Florida",587769,595203,601942
"Broward County, Florida",1934516,1946107,1952778
"Calhoun County, Florida",14428,14543,14105
"Charlotte County, Florida",181522,184849,188910
"Citrus County, Florida",145415,147682,149657
"Clay County, Florida",212228,215908,219252
"Collier County, Florida",372678,378201,384902
"Columbia County, Florida",69999,70668,71686
"DeSoto County, Florida",37241,37368,38001
"Dixie County, Florida",16615,16685,16826
"Duval County, Florida",937933,948652,957755
"Escambia County, Florida",313249,315104,318316
"Flagler County, Florida",109999,112085,115081
"Franklin County, Florida",11724,11676,12125
"Gadsden County, Florida",45993,45927,45660
"Gilchrist County, Florida",17900,18284,18582
"Glades County, Florida",13580,13686,13811
"Gulf County, Florida",16105,16146,13639
"Hamilton County, Florida",14364,14262,14428
"Hardee County, Florida",27154,27168,26937
"Hendry County, Florida",41018,41336,42022
"Hernando County, Florida",186704,190582,193920
"Highlands County, Florida",103852,104933,106221
"Hillsborough County, Florida",1426736,1451919,1471968
"Holmes County, Florida",19427,19443,19617
"Indian River County, Florida",154241,157187,159923
"Jackson County, Florida",48289,48112,46414
"Jefferson County, Florida",14165,14321,14246
"Lafayette County, Florida",8602,8691,8422
"Lake County, Florida",345432,356720,367118
"Lee County, Florida",740000,754470,770577
"Leon County, Florida",290965,291657,293582
"Levy County, Florida",40276,40798,41503
"Liberty County, Florida",8236,8427,8354
"Madison County, Florida",18474,18540,18493
"Manatee County, Florida",385506,394387,403253
"Marion County, Florida",353339,359062,365579
"Martin County, Florida",159701,160742,161000
"Miami-Dade County, Florida",2713295,2714854,2716940
"Monroe County, Florida",76483,74757,74228
"Nassau County, Florida",82925,85936,88625
"Okaloosa County, Florida",203478,206934,210738
"Okeechobee County, Florida",41275,41654,42168
"Orange County, Florida",1355921,1381540,1393452
