Geographic Area,2017,2018,2019
"Massac County, Illinois",14291,14023,13772
"Menard County, Illinois",12293,12289,12196
"Mercer County, Illinois",15608,15551,15437
"Monroe County, Illinois",34179,34373,34637
"Montgomery County, Illinois",28781,28691,28414
"Morgan County, Illinois",34245,34027,33658
"Moultrie County, Illinois",14701,14648,14501
"Ogle County, Illinois",50993,50781,50643
"Peoria County, Illinois",182525,180620,179179
"Perry County, Illinois",21281,21144,20916
"Piatt County, Illinois",16422,16366,16344
"Pike County, Illinois",15668,15595,15561
"Pope County, Illinois",4183,4184,4177
"Pulaski County, Illinois",5520,5434,5335
"Putnam County, Illinois",5694,5736,5739
"Randolph County, Illinois",32297,32177,31782
"Richland County, Illinois",15837,15695,15513
"Rock Island County, Illinois",143828,142621,141879
"St. Clair County, Illinois",262600,261360,259686
"Saline County, Illinois",23963,23789,23491
"Sangamon County, Illinois",197072,195639,194672
"Schuyler County, Illinois",6948,6870,6768
"Scott County, Illinois",4983,4927,4951
"Shelby County, Illinois",21774,21726,21634
"Stark County, Illinois",5457,5418,5342
"Stephenson County, Illinois",44997,44797,44498
"Tazewell County, Illinois",133489,132450,131803
"Union County, Illinois",16968,16832,16653
"Vermilion County, Illinois",77689,76702,75758
"Wabash County, Illinois",11523,11523,11520
"Warren County, Illinois",17144,16992,16844
"Washington County, Illinois",13963,13999,13887
"Wayne County, Illinois",16412,16326,16215
"White County, Illinois",13903,13618,13537
"Whiteside County, Illinois",55955,55553,55175
"Will County, Illinois",690479,691149,690743
"Williamson County, Illinois",67049,66982,66597
"Winnebago County, Illinois",284681,283630,282572
"Woodford County, Illinois",38670,38527,38459
"Adams County, Indiana",35385,35595,35777
"Allen County, Indiana",371723,375079,379299
"Bartholomew County, Indiana",82213,82722,83779
"Benton County, Indiana",8631,8653,8748
"Blackford County, Indiana",12028,11924,11758
"Boone County, Indiana",65723,66930,67843
"Brown County, Indiana",15010,15230,15092
"Carroll County, Indiana",20067,20188,20257
"Cass County, Indiana",37828,37895,37689
"Clark County, Indiana",116545,117280,118302
"Clay County, Indiana",26167,26175,26225
"Clinton County, Indiana",32195,32192,32399
"Crawford County, Indiana",10535,10594,10577
"Daviess County, Indiana",33136,33278,33351
"Dearborn County, Indiana",49564,49482,49458
"Decatur County, Indiana",26620,26725,26559
"DeKalb County, Indiana",42806,43208,43475
"Delaware County, Indiana",115246,114297,114135
"Dubois County, Indiana",42538,42674,42736
"Elkhart County, Indiana",204194,205617,206341
"Fayette County, Indiana",23154,23076,23102
"Floyd County, Indiana",77006,77834,78522
"Fountain County, Indiana",16419,16390,16346
"Franklin County, Indiana",22694,22706,22758
"Fulton County, Indiana",19995,20053,19974
"Gibson County, Indiana",33721,33610,33659
"Grant County, Indiana",66305,66039,65769
"Greene County, Indiana",32172,32059,31922
"Hamilton County, Indiana",322933,330311,338011
"Hancock County, Indiana",74998,76478,78168
"Harrison County, Indiana",39777,40214,40515
"Hendricks County, Indiana",163622,166908,170311
"Henry County, Indiana",48170,48131,47972
"Howard County, Indiana",82210,82257,82544
"Huntington County, Indiana",36222,36243,36520
"Jackson County, Indiana",43955,44068,44231
"Jasper County, Indiana",33424,33365,33562
"Jay County, Indiana",20883,20727,20436
"Jefferson County, Indiana",32013,32157,32308
"Jennings County, Indiana",27652,27679,27735
"Johnson County, Indiana",153820,156093,158167
"Knox County, Indiana",37044,36596,36594
"Kosciusko County, Indiana",79026,79416,79456
"LaGrange County, Indiana",39248,39375,39614
"Lake County, Indiana",484601,484440,485493
"LaPorte County, Indiana",109842,109981,109888
"Lawrence County, Indiana",45592,45630,45370
"Madison County, Indiana",129418,129573,129569
"Marion County, Indiana",950537,958700,964582
"Marshall County, Indiana",46433,46296,46258
"Martin County, Indiana",10181,10219,10255
"Miami County, Indiana",35864,35646,35516
"Monroe County, Indiana",146638,147230,148431
"Montgomery County, Indiana",38343,38274,38338
"Morgan County, Indiana",69793,70137,70489
"Newton County, Indiana",14027,13986,13984
"Noble County, Indiana",47329,47543,47744
"Ohio County, Indiana",5854,5879,5875
"Orange County, Indiana",19423,19548,19646
"Owen County, Indiana",20791,20862,20799
"Parke County, Indiana",16907,16978,16937
"Perry County, Indiana",18978,19077,19169
"Pike County, Indiana",12315,12388,12389
"Porter County, Indiana",168495,169488,170389
"Posey County, Indiana",25569,25554,25427
"Pulaski County, Indiana",12529,12492,12353
"Putnam County, Indiana",37363,37486,37576
"Randolph County, Indiana",24907,24806,24665
"Ripley County, Indiana",28428,28450,28324
"Rush County, Indiana",16643,16635,16581
"St. Joseph County, Indiana",270057,270972,271826
"Scott County, Indiana",23793,23784,23873
"Shelby County, Indiana",44367,44522,44729
"Spencer County, Indiana",20440,20385,20277
"Starke County, Indiana",22935,22951,22995
"Steuben County, Indiana",34384,34487,34594
"Sullivan County, Indiana",20700,20696,20669
"Switzerland County, Indiana",10686,10731,10751
"Tippecanoe County, Indiana",191199,193817,195732
"Tipton County, Indiana",15137,15112,15148
"Union County, Indiana",7159,7029,7054
"Vanderburgh County, Indiana",180954,181120,181451
"Vermillion County, Indiana",15503,15510,15498
"Vigo County, Indiana",107569,107367,107038
"Wabash County, Indiana",31380,31198,30996
"Warren County, Indiana",8204,8280,8265
"Warrick County, Indiana",62401,62474,62998
"Washington County, Indiana",27771,27932,28036
"Wayne County, Indiana",66179,66046,65884
"Wells County, Indiana",27958,28083,28296
"White County, Indiana",24163,24133,24102
"Whitley County, Indiana",33722,34047,33964
"Adair County, Iowa",7051,7074,7152
"Adams County, Iowa",3657,3644,3602
"Allamakee County, Iowa",13803,13852,13687
"Appanoose County, Iowa",12353,12401,12426
"Audubon County, Iowa",5550,5471,5496
"Benton County, Iowa",25656,25625,25645
"Black Hawk County, Iowa",132238,131723,131228
"Boone County, Iowa",26443,26312,26234
"Bremer County, Iowa",24823,24941,25062
"Buchanan County, Iowa",21126,21178,21175
"Buena Vista County, Iowa",20144,19826,19620
"Butler County, Iowa",14592,14525,14439
"Calhoun County, Iowa",9729,9711,9668
"Carroll County, Iowa",20274,20153,20165
"Cass County, Iowa",13144,12948,12836
"Cedar County, Iowa",18490,18564,18627
"Cerro Gordo County, Iowa",42999,42642,42450
"Cherokee County, Iowa",11307,11295,11235
"Chickasaw County, Iowa",12002,11952,11933
"Clarke County, Iowa",9396,9502,9395
"Clay County, Iowa",16141,16106,16016
"Clayton County, Iowa",17648,17540,17549
"Clinton County, Iowa",46874,46437,46429
"Crawford County, Iowa",17076,17089,16820
"Dallas County, Iowa",87208,89953,93453
"Davis County, Iowa",8969,8972,9000
"Decatur County, Iowa",7947,7890,7870
"Delaware County, Iowa",17143,17081,17011
"Des Moines County, Iowa",39326,39149,38967
"Dickinson County, Iowa",17141,17121,17258
"Dubuque County, Iowa",97066,96922,97311
"Emmet County, Iowa",9422,9277,9208
"Fayette County, Iowa",19687,19679,19650
"Floyd County, Iowa",15767,15752,15642
"Franklin County, Iowa",10160,10085,10070
"Fremont County, Iowa",6930,6981,6960
"Greene County, Iowa",8954,8965,8888
"Grundy County, Iowa",12298,12272,12232
"Guthrie County, Iowa",10645,10720,10689
"Hamilton County, Iowa",15032,14886,14773
"Hancock County, Iowa",10756,10710,10630
"Hardin County, Iowa",17073,16937,16846
"Harrison County, Iowa",14107,14105,14049
"Henry County, Iowa",20044,20033,19954
"Howard County, Iowa",9229,9172,9158
"Humboldt County, Iowa",9569,9559,9558
"Ida County, Iowa",6869,6846,6860
"Iowa County, Iowa",16133,16155,16184
"Jackson County, Iowa",19382,19427,19439
"Jasper County, Iowa",36995,37189,37185
"Jefferson County, Iowa",18219,18256,18295
"Johnson County, Iowa",149325,150549,151140
"Jones County, Iowa",20618,20673,20681
"Keokuk County, Iowa",10141,10213,10246
"Kossuth County, Iowa",14939,14878,14813
"Lee County, Iowa",34216,33909,33657
"Linn County, Iowa",224379,225763,226706
"Louisa County, Iowa",11195,11153,11035
"Lucas County, Iowa",8533,8617,8600
"Lyon County, Iowa",11785,11815,11755
"Madison County, Iowa",16000,16206,16338
"Mahaska County, Iowa",22211,22018,22095
"Marion County, Iowa",33091,33259,33253
"Marshall County, Iowa",40078,39888,39369
"Mills County, Iowa",15060,15068,15109
"Mitchell County, Iowa",10563,10571,10586
"Monona County, Iowa",8724,8659,8615
"Monroe County, Iowa",7798,7768,7707
"Montgomery County, Iowa",10112,9961,9917
"Muscatine County, Iowa",42872,42874,42664
"O'Brien County, Iowa",13774,13798,13753
"Osceola County, Iowa",6021,6028,5958
"Page County, Iowa",15213,15229,15107
"Palo Alto County, Iowa",9052,8903,8886
"Plymouth County, Iowa",25060,25024,25177
"Pocahontas County, Iowa",6833,6714,6619
"Polk County, Iowa",480487,485833,490161
"Pottawattamie County, Iowa",93416,93264,93206
"Poweshiek County, Iowa",18334,18467,18504
"Ringgold County, Iowa",5024,4940,4894
"Sac County, Iowa",9803,9705,9721
"Scott County, Iowa",172448,172803,172943
"Shelby County, Iowa",11574,11559,11454
"Sioux County, Iowa",34781,34802,34855
"Story County, Iowa",97278,96781,97117
"Tama County, Iowa",17029,16869,16854
"Taylor County, Iowa",6095,6160,6121
"Union County, Iowa",12459,12298,12241
"Van Buren County, Iowa",7155,7013,7044
"Wapello County, Iowa",35022,34991,34969
"Warren County, Iowa",50078,51014,51466
"Washington County, Iowa",22204,22058,21965
"Wayne County, Iowa",6492,6405,6441
"Webster County, Iowa",36637,36339,35904
"Winnebago County, Iowa",10573,10539,10354
"Winneshiek County, Iowa",20129,20017,19991
"Woodbury County, Iowa",102132,102515,103107
"Worth County, Iowa",7455,7413,7381
"Wright County, Iowa",12765,12690,12562
"Allen County, Kansas",12555,12501,12369
"Anderson County, Kansas",7833,7848,7858
"Atchison County, Kansas",16298,16173,16073
"Barber County, Kansas",4570,4465,4427
"Barton County, Kansas",26394,26057,25779
"Bourbon County, Kansas",14609,14542,14534
"Brown County, Kansas",9609,9610,9564
"Butler County, Kansas",66845,66833,66911
"Chase County, Kansas",2651,2600,2648
"Chautauqua County, Kansas",3315,3304,3250
"Cherokee County, Kansas",20129,20035,19939
"Cheyenne County, Kansas",2684,2645,2657
"Clark County, Kansas",1995,1994,1994
"Clay County, Kansas",8006,8003,8002
"Cloud County, Kansas",8912,8734,8786
"Coffey County, Kansas",8228,8232,8179
"Comanche County, Kansas",1759,1736,1700
"Cowley County, Kansas",35297,35149,34908
"Crawford County, Kansas",38925,38911,38818
"Decatur County, Kansas",2863,2860,2827
"Dickinson County, Kansas",18829,18682,18466
"Doniphan County, Kansas",7657,7658,7600
"Douglas County, Kansas",120281,121109,122259
"Edwards County, Kansas",2873,2820,2798
"Elk County, Kansas",2514,2484,2530
"Ellis County, Kansas",28735,28646,28553
"Ellsworth County, Kansas",6284,6163,6102
"Finney County, Kansas",36720,36528,36467
"Ford County, Kansas",34218,33877,33619
"Franklin County, Kansas",25631,25625,25544
"Geary County, Kansas",33774,32777,31670
"Gove County, Kansas",2622,2611,2636
"Graham County, Kansas",2485,2475,2482
"Grant County, Kansas",7490,7294,7150
"Gray County, Kansas",6018,6076,5988
"Greeley County, Kansas",1226,1229,1232
"Greenwood County, Kansas",6067,6011,5982
"Hamilton County, Kansas",2616,2600,2539
"Harper County, Kansas",5580,5508,5436
"Harvey County, Kansas",34373,34183,34429
"Haskell County, Kansas",4019,3990,3968
"Hodgeman County, Kansas",1863,1822,1794
"Jackson County, Kansas",13332,13270,13171
"Jefferson County, Kansas",18932,18856,19043
"Jewell County, Kansas",2857,2845,2879
"Johnson County, Kansas",591305,598127,602401
"Kearny County, Kansas",3935,3941,3838
"Kingman County, Kansas",7275,7220,7152
"Kiowa County, Kansas",2486,2489,2475
"Labette County, Kansas",20129,19906,19618
"Lane County, Kansas",1548,1546,1535
"Leavenworth County, Kansas",81109,81497,81758
"Lincoln County, Kansas",3043,2998,2962
"Linn County, Kansas",9697,9771,9703
"Logan County, Kansas",2814,2812,2794
"Lyon County, Kansas",33257,33300,33195
"McPherson County, Kansas",28687,28528,28542
"Marion County, Kansas",11945,11923,11884
"Marshall County, Kansas",9687,9715,9707
"Meade County, Kansas",4230,4098,4033
"Miami County, Kansas",33429,33737,34237
"Mitchell County, Kansas",6137,6110,5979
"Montgomery County, Kansas",32390,32091,31829
"Morris County, Kansas",5467,5557,5620
"Morton County, Kansas",2747,2693,2587
"Nemaha County, Kansas",10060,10125,10231
"Neosho County, Kansas",16094,16025,16007
"Ness County, Kansas",2856,2796,2750
"Norton County, Kansas",5421,5419,5361
"Osage County, Kansas",15842,15938,15949
"Osborne County, Kansas",3539,3459,3421
"Ottawa County, Kansas",5817,5752,5704
"Pawnee County, Kansas",6665,6573,6414
"Phillips County, Kansas",5370,5276,5234
"Pottawatomie County, Kansas",23916,24209,24383
"Pratt County, Kansas",9500,9340,9164
"Rawlins County, Kansas",2473,2502,2530
"Reno County, Kansas",62714,62331,61998
"Republic County, Kansas",4654,4652,4636
"Rice County, Kansas",9563,9483,9537
"Riley County, Kansas",73977,74712,74232
"Rooks County, Kansas",5055,4995,4920
"Rush County, Kansas",3048,3056,3036
"Russell County, Kansas",6930,6902,6856
"Saline County, Kansas",54508,54387,54224
"Scott County, Kansas",4928,4909,4823
"Sedgwick County, Kansas",513176,513484,516042
"Seward County, Kansas",22245,21902,21428
"Shawnee County, Kansas",178056,177290,176875
"Sheridan County, Kansas",2526,2522,2521
"Sherman County, Kansas",5936,5917,5917
"Smith County, Kansas",3615,3590,3583
"Stafford County, Kansas",4186,4162,4156
"Stanton County, Kansas",2055,2025,2006
"Stevens County, Kansas",5551,5536,5485
"Sumner County, Kansas",23117,23019,22836
"Thomas County, Kansas",7821,7710,7777
"Trego County, Kansas",2843,2797,2803
"Wabaunsee County, Kansas",6832,6912,6931
"Wallace County, Kansas",1515,1489,1518
"Washington County, Kansas",5479,5450,5406
"Wichita County, Kansas",2121,2112,2119
"Wilson County, Kansas",8707,8666,8525
"Woodson County, Kansas",3130,3184,3138
"Wyandotte County, Kansas",165087,165321,165429
"Adair County, Kentucky",19287,19199,19202
"Allen County, Kentucky",20903,21122,21315
"Anderson County, Kentucky",22545,22641,22747
"Ballard County, Kentucky",8018,7992,7888
"Barren County, Kentucky",43746,44115,44249
"Bath County, Kentucky",12381,12444,12500
"Bell County, Kentucky",26863,26487,26032
"Boone County, Kentucky",130952,131901,133581
"Bourbon County, Kentucky",20092,20116,19788
"Boyd County, Kentucky",47808,47292,46718
"Boyle County, Kentucky",29972,30082,30060
"Bracken County, Kentucky",8285,8278,8303
"Breathitt County, Kentucky",12929,12787,12630
"Breckinridge County, Kentucky",20131,20309,20477
"Bullitt County, Kentucky",80269,81009,81676
"Butler County, Kentucky",12778,12743,12879
"Caldwell County, Kentucky",12666,12716,12747
"Calloway County, Kentucky",38832,38964,39001
"Campbell County, Kentucky",92878,93464,93584
"Carlisle County, Kentucky",4788,4739,4760
"Carroll County, Kentucky",10714,10712,10631
"Carter County, Kentucky",27214,27040,26797
"Casey County, Kentucky",15818,15926,16159
"Christian County, Kentucky",71024,70712,70461
"Clark County, Kentucky",35899,36180,36263
"Clay County, Kentucky",20251,20088,19901
"Clinton County, Kentucky",10212,10152,10218
"Crittenden County, Kentucky",8999,8896,8806
"Cumberland County, Kentucky",6710,6693,6614
"Daviess County, Kentucky",100461,100883,101511
"Edmonson County, Kentucky",12226,12249,12150
"Elliott County, Kentucky",7493,7499,7517
"Estill County, Kentucky",14178,14150,14106
"Fayette County, Kentucky",321964,322426,323152
"Fleming County, Kentucky",14439,14485,14581
"Floyd County, Kentucky",36296,35896,35589
"Franklin County, Kentucky",50492,50801,50991
"Fulton County, Kentucky",6163,6066,5969
"Gallatin County, Kentucky",8720,8766,8869
"Garrard County, Kentucky",17449,17519,17666
"Grant County, Kentucky",24973,25065,25069
"Graves County, Kentucky",37190,37319,37266
"Grayson County, Kentucky",26286,26293,26427
"Green County, Kentucky",11036,10998,10941
"Greenup County, Kentucky",35514,35332,35098
"Hancock County, Kentucky",8778,8738,8722
"Hardin County, Kentucky",108161,110279,110958
"Harlan County, Kentucky",26676,26309,26010
"Harrison County, Kentucky",18735,18780,18886
"Hart County, Kentucky",18745,18902,19035
"Henderson County, Kentucky",45867,45512,45210
"Henry County, Kentucky",15972,16061,16126
"Hickman County, Kentucky",4518,4431,4380
"Hopkins County, Kentucky",45293,45024,44686
"Jackson County, Kentucky",13422,13403,13329
"Jefferson County, Kentucky",769828,768101,766757
"Jessamine County, Kentucky",53259,53757,54115
"Johnson County, Kentucky",22606,22391,22188
"Kenton County, Kentucky",165608,166292,166998
"Knott County, Kentucky",15244,15076,14806
"Knox County, Kentucky",31444,31300,31145
"Larue County, Kentucky",14196,14299,14398
"Laurel County, Kentucky",60317,60660,60813
"Lawrence County, Kentucky",15756,15583,15317
"Lee County, Kentucky",6602,7052,7403
"Leslie County, Kentucky",10310,10151,9877
"Letcher County, Kentucky",22303,21813,21553
"Lewis County, Kentucky",13363,13268,13275
"Lincoln County, Kentucky",24495,24612,24549
"Livingston County, Kentucky",9249,9244,9194
"Logan County, Kentucky",27003,26983,27102
"Lyon County, Kentucky",8261,8171,8210
"McCracken County, Kentucky",65364,65307,65418
"McCreary County, Kentucky",17372,17290,17231
"McLean County, Kentucky",9216,9258,9207
"Madison County, Kentucky",91170,92107,92987
"Magoffin County, Kentucky",12519,12323,12161
"Marion County, Kentucky",19276,19326,19273
"Marshall County, Kentucky",31318,31202,31100
"Martin County, Kentucky",11492,11325,11195
"Mason County, Kentucky",17192,17080,17070
"Meade County, Kentucky",28033,28623,28572
"Menifee County, Kentucky",6465,6437,6489
"Mercer County, Kentucky",21542,21702,21933
"Metcalfe County, Kentucky",10093,10070,10071
"Monroe County, Kentucky",10597,10732,10650
"Montgomery County, Kentucky",27913,28109,28157
"Morgan County, Kentucky",13230,13372,13309
"Muhlenberg County, Kentucky",30925,30811,30622
"Nelson County, Kentucky",45591,45813,46233
"Nicholas County, Kentucky",7160,7195,7269
"Ohio County, Kentucky",24116,24064,23994
"Oldham County, Kentucky",66557,66512,66799
"Owen County, Kentucky",10794,10881,10901
"Owsley County, Kentucky",4402,4474,4415
"Pendleton County, Kentucky",14602,14588,14590
"Perry County, Kentucky",26586,26208,25758
"Pike County, Kentucky",58905,58492,57876
"Powell County, Kentucky",12297,12371,12359
"Pulaski County, Kentucky",64314,64584,64979
"Robertson County, Kentucky",2120,2130,2108
"Rockcastle County, Kentucky",16778,16823,16695
"Rowan County, Kentucky",24514,24503,24460
"Russell County, Kentucky",17723,17790,17923
"Scott County, Kentucky",54782,55968,57004
"Shelby County, Kentucky",47209,48059,49024
"Simpson County, Kentucky",18046,18403,18572
"Spencer County, Kentucky",18619,19021,19351
"Taylor County, Kentucky",25544,25514,25769
"Todd County, Kentucky",12177,12306,12294
"Trigg County, Kentucky",14418,14658,14651
"Trimble County, Kentucky",8521,8468,8471
"Union County, Kentucky",14620,14471,14381
"Warren County, Kentucky",129074,130750,132896
"Washington County, Kentucky",11880,12023,12095
"Wayne County, Kentucky",20628,20430,20333
"Webster County, Kentucky",13012,13051,12942
"Whitley County, Kentucky",36074,36101,36264
"Wolfe County, Kentucky",7248,7199,7157
"Woodford County, Kentucky",26385,26491,26734
"Acadia Parish, Louisiana",62559,62214,62045
"Allen Parish, Louisiana",25583,25567,25627
"Ascension Parish, Louisiana",123177,124858,126604
"Assumption Parish, Louisiana",22568,22279,21891
"Avoyelles Parish, Louisiana",40836,40402,40144
"Beauregard Parish, Louisiana",36847,37369,37497
"Bienville Parish, Louisiana",13631,13343,13241
"Bossier Parish, Louisiana",126959,127022,127039
"Caddo Parish, Louisiana",245935,242833,240204
"Calcasieu Parish, Louisiana",202466,203177,203436
"Caldwell Parish, Louisiana",9959,9964,9918
"Cameron Parish, Louisiana",6944,7013,6973
"Catahoula Parish, Louisiana",9830,9606,9494
"Claiborne Parish, Louisiana",15953,15895,15670
"Concordia Parish, Louisiana",19846,19586,19259
"De Soto Parish, Louisiana",27267,27426,27463
"East Baton Rouge Parish, Louisiana",444511,442058,440059
"East Carroll Parish, Louisiana",7111,6994,6861
"East Feliciana Parish, Louisiana",19380,19286,19135
"Evangeline Parish, Louisiana",33663,33496,33395
"Franklin Parish, Louisiana",20256,20164,20015
"Grant Parish, Louisiana",22296,22436,22389
"Iberia Parish, Louisiana",71982,70905,69830
"Iberville Parish, Louisiana",32906,32693,32511
"Jackson Parish, Louisiana",15898,15912,15744
"Jefferson Parish, Louisiana",436126,433884,432493
"Jefferson Davis Parish, Louisiana",31480,31537,31368
"Lafayette Parish, Louisiana",241756,243113,244390
"Lafourche Parish, Louisiana",98123,97981,97614
"LaSalle Parish, Louisiana",14887,14901,14892
"Lincoln Parish, Louisiana",47471,47112,46742
"Livingston Parish, Louisiana",137712,139394,140789
"Madison Parish, Louisiana",11342,11196,10951
"Morehouse Parish, Louisiana",25655,25324,24874
"Natchitoches Parish, Louisiana",39042,38616,38158
"Orleans Parish, Louisiana",391493,391004,390144
"Ouachita Parish, Louisiana",155841,154571,153279
"Plaquemines Parish, Louisiana",23348,23385,23197
"Pointe Coupee Parish, Louisiana",22164,21879,21730
"Rapides Parish, Louisiana",131253,130326,129648
"Red River Parish, Louisiana",8527,8526,8442
"Richland Parish, Louisiana",20413,20223,20122
"Sabine Parish, Louisiana",23909,23901,23884
"St. Bernard Parish, Louisiana",46110,46780,47244
"St. Charles Parish, Louisiana",52620,52775,53100
"St. Helena Parish, Louisiana",10322,10187,10132
"St. James Parish, Louisiana",21380,21151,21096
"St. John the Baptist Parish, Louisiana",43328,43119,42837
"St. Landry Parish, Louisiana",83535,82782,82124
"St. Martin Parish, Louisiana",54066,53562,53431
"St. Mary Parish, Louisiana",50708,49841,49348
"St. Tammany Parish, Louisiana",255921,258035,260419
"Tangipahoa Parish, Louisiana",132353,133837,134758
"Tensas Parish, Louisiana",4574,4470,4334
"Terrebonne Parish, Louisiana",111823,111163,110461
"Union Parish, Louisiana",22398,22243,22108
"Vermilion Parish, Louisiana",59936,59886,59511
"Vernon Parish, Louisiana",49789,48101,47429
"Washington Parish, Louisiana",46649,46588,46194
"Webster Parish, Louisiana",39264,38792,38340
"West Baton Rouge Parish, Louisiana",26184,26400,26465
"West Carroll Parish, Louisiana",10974,10977,10830
"West Feliciana Parish, Louisiana",15371,15492,15568
"Winn Parish, Louisiana",14350,14138,13904
"Androscoggin County, Maine",107399,107914,108277
"Aroostook County, Maine",67609,67318,67055
"Cumberland County, Maine",292181,293673,295003
"Franklin County, Maine",29799,29915,30199
"Hancock County, Maine",54539,54734,54987
"Kennebec County, Maine",121913,122044,122302
"Knox County, Maine",39759,39717,39772
"Lincoln County, Maine",34215,34399,34634
"Oxford County, Maine",57534,57754,57975
"Penobscot County, Maine",151645,151817,152148
"Piscataquis County, Maine",16804,16746,16785
"Sagadahoc County, Maine",35436,35690,35856
"Somerset County, Maine",50351,50489,50484
"Waldo County, Maine",39772,39657,39715
"Washington County, Maine",31374,31321,31379
"York County, Maine",204282,205869,207641
"Allegany County, Maryland",71352,70941,70416
"Anne Arundel County, Maryland",571339,575523,579234
"Baltimore County, Maryland",828645,827859,827370
"Calvert County, Maryland",91435,92065,92525
"Caroline County, Maryland",33096,33306,33406
"Carroll County, Maryland",167547,168267,168447
"Cecil County, Maryland",102394,102644,102855
"Charles County, Maryland",159450,161476,163257
"Dorchester County, Maryland",32105,31960,31929
"Frederick County, Maryland",250622,254943,259547
"Garrett County, Maryland",29242,29133,29014
"Harford County, Maryland",251858,253882,255441
"Howard County, Maryland",319251,322621,325690
"Kent County, Maryland",19442,19434,19422
"Montgomery County, Maryland",1046822,1048478,1050688
"Prince George's County, Maryland",909705,909619,909327
"Queen Anne's County, Maryland",49586,50148,50381
"St. Mary's County, Maryland",112487,112720,113510
"Somerset County, Maryland",25896,25606,25616
"Talbot County, Maryland",37033,37074,37181
"Washington County, Maryland",150169,150656,151049
"Wicomico County, Maryland",102252,103044,103609
"Worcester County, Maryland",51659,51960,52276
"Baltimore city, Maryland",610481,602443,593490
"Barnstable County, Massachusetts",213581,213471,212990
"Berkshire County, Massachusetts",126353,125901,124944
"Bristol County, Massachusetts",560941,564092,565217
"Dukes County, Massachusetts",17311,17329,17332
"Essex County, Massachusetts",784453,788183,789034
"Franklin County, Massachusetts",70605,70611,70180
"Hampden County, Massachusetts",467705,468388,466372
"Hampshire County, Massachusetts",161077,161139,160830
"Middlesex County, Massachusetts",1603943,1608470,1611699
"Nantucket County, Massachusetts",11205,11198,11399
"Norfolk County, Massachusetts",700599,703230,706775
"Plymouth County, Massachusetts",515461,518422,521202
"Suffolk County, Massachusetts",800806,803147,803907
"Worcester County, Massachusetts",825749,829054,830622
"Alcona County, Michigan",10309,10360,10405
"Alger County, Michigan",9144,9118,9108
"Allegan County, Michigan",116368,117173,118081
"Alpena County, Michigan",28428,28384,28405
"Antrim County, Michigan",23270,23323,23324
"Arenac County, Michigan",15014,15008,14883
"Baraga County, Michigan",8441,8324,8209
"Barry County, Michigan",60682,61231,61550
"Bay County, Michigan",104045,103702,103126
"Benzie County, Michigan",17624,17761,17766
"Berrien County, Michigan",154128,153790,153401
"Branch County, Michigan",43375,43566,43517
"Calhoun County, Michigan",134180,134049,134159
"Cass County, Michigan",51481,51725,51787
"Charlevoix County, Michigan",26212,26187,26143
"Cheboygan County, Michigan",25454,25504,25276
"Chippewa County, Michigan",37679,37461,37349
"Clare County, Michigan",30565,30735,30950
"Clinton County, Michigan",78506,79219,79595
"Crawford County, Michigan",13906,13905,14029
"Delta County, Michigan",35890,35843,35784
"Dickinson County, Michigan",25424,25371,25239
"Eaton County, Michigan",109456,109710,110268
"Emmet County, Michigan",33081,33225,33415
"Genesee County, Michigan",407488,406688,405813
"Gladwin County, Michigan",25241,25326,25449
"Gogebic County, Michigan",15340,15116,13975
"Grand Traverse County, Michigan",91791,92530,93088
"Gratiot County, Michigan",40979,40602,40711
"Hillsdale County, Michigan",45820,45702,45605
"Houghton County, Michigan",36198,35943,35684
"Huron County, Michigan",31306,31211,30981
"Ingham County, Michigan",292018,291612,292406
"Ionia County, Michigan",64284,64276,64697
"Iosco County, Michigan",25128,25103,25127
"Iron County, Michigan",11105,11104,11066
"Isabella County, Michigan",71077,70463,69872
"Jackson County, Michigan",158563,158566,158510
"Kalamazoo County, Michigan",262998,264680,265066
"Kalkaska County, Michigan",17571,17806,18038
"Kent County, Michigan",649278,653350,656955
"Keweenaw County, Michigan",2085,2090,2116
"Lake County, Michigan",11981,11876,11853
"Lapeer County, Michigan",88122,87921,87607
"Leelanau County, Michigan",21645,21714,21761
"Lenawee County, Michigan",98427,98141,98451
"Livingston County, Michigan",189869,191190,191995
"Luce County, Michigan",6370,6327,6229
"Mackinac County, Michigan",10768,10781,10799
"Macomb County, Michigan",871364,872795,873972
"Manistee County, Michigan",24393,24455,24558
"Marquette County, Michigan",66493,66381,66699
"Mason County, Michigan",28996,29084,29144
"Mecosta County, Michigan",43258,43400,43453
"Menominee County, Michigan",22981,22927,22780
"Midland County, Michigan",83314,83223,83156
"Missaukee County, Michigan",15020,15101,15118
"Monroe County, Michigan",149449,150174,150500
"Montcalm County, Michigan",63527,63936,63888
"Montmorency County, Michigan",9233,9275,9328
"Muskegon County, Michigan",173645,173599,173566
"Newaygo County, Michigan",48320,48839,48980
"Oakland County, Michigan",1256016,1256694,1257584
"Oceana County, Michigan",26422,26555,26467
"Ogemaw County, Michigan",20882,20882,20997
"Ontonagon County, Michigan",5889,5801,5720
"Osceola County, Michigan",23267,23377,23460
"Oscoda County, Michigan",8238,8224,8241
"Otsego County, Michigan",24528,24641,24668
"Ottawa County, Michigan",286581,289808,291830
"Presque Isle County, Michigan",12742,12698,12592
"Roscommon County, Michigan",23731,23812,24019
"Saginaw County, Michigan",191965,190791,190539
