,EVENT_ID,STATE
592,810394,VIRGINIA
593,814315,TENNESSEE
598,831578,CALIFORNIA
599,819464,CALIFORNIA
600,819468,CALIFORNIA
603,827449,VIRGINIA
624,819307,KANSAS
625,819308,KANSAS
648,810332,TENNESSEE
657,843285,FLORIDA
661,843457,FLORIDA
669,819047,MARYLAND
677,843474,FLORIDA
678,843476,FLORIDA
693,819881,CALIFORNIA
694,810272,TENNESSEE
695,810276,TENNESSEE
696,810283,TENNESSEE
697,810289,TENNESSEE
717,820161,IDAHO
718,820179,IDAHO
720,819309,Kansas
721,819310,KANSAS
722,819311,KANSAS
723,819714,COLORADO
724,819715,COLORADO
728,840227,OHIO
729,840228,OHIO
730,840229,OHIO
731,840230,Ohio
732,840232,OHIO
733,840233,OHIO
734,840235,OHIO
735,840236,OHIO
736,813051,NEBRASKA
737,813052,NEBRASKA
740,813053,Nebraska
741,813054,NEBRASKA
744,813204,NEBRASKA
745,813055,NEBRASKA
747,813202,NEBRASKA
748,813056,NEBRASKA
754,813205,NEBRASKA
755,813206,NEBRASKA
756,813207,NEBRASKA
760,810389,TENNESSEE
766,813208,NEBRASKA
769,814243,New Jersey
775,814248,NEW JERSEY
776,814251,NEW JERSEY
777,814258,ATLANTIC NORTH
782,813032,NEBRASKA
788,826726,FLORIDA
789,813022,NEBRASKA
794,813026,NEBRASKA
797,813038,NEBRASKA
798,813039,NEBRASKA
799,800012,HAWAII
804,813041,NEBRASKA
805,800014,HAWAII
822,827466,NORTH DAKOTA
872,834646,NEW MEXICO
873,834650,NEW MEXICO
878,836541,NEW MEXICO
879,836543,NEW MEXICO
907,801697,MISSISSIPPI
908,852651,LAKE MICHIGAN
909,813043,NEBRASKA
910,852653,LAKE SUPERIOR
917,852654,LAKE SUPERIOR
930,852652,LAKE MICHIGAN
931,813044,NEBRASKA
932,813045,Nebraska
936,852674,Michigan
941,852650,LAKE HURON
953,861579,TEXAS
954,852677,LAKE MICHIGAN
960,801698,MISSISSIPPI
968,852679,LAKE MICHIGAN
969,833040,NEW MEXICO
976,822766,Virginia
977,800020,HAWAII
978,856251,IOWA
982,801700,MISSISSIPPI
984,800017,HAWAII
985,800018,HAWAII
986,800015,HAWAII
988,859282,IOWA
989,800016,HAWAII
990,825695,OKLAHOMA
991,800019,HAWAII
992,809140,VIRGINIA
993,809141,VIRGINIA
994,809142,VIRGINIA
995,809143,Virginia
996,809144,Virginia
1004,802258,MISSISSIPPI
1017,809134,VIRGINIA
1018,809135,VIRGINIA
1019,809139,VIRGINIA
1024,809113,WEST VIRGINIA
1025,809114,VIRGINIA
1026,809116,VIRGINIA
1027,809125,Virginia
1054,799117,GULF OF MEXICO
1055,826727,FLORIDA
1056,826728,FLORIDA
1057,826729,FLORIDA
1058,802265,MISSISSIPPI
1059,802266,MISSISSIPPI
1060,802270,MISSISSIPPI
1061,802271,Mississippi
1062,802273,MISSISSIPPI
1065,818859,ATLANTIC SOUTH
1069,802274,MISSISSIPPI
1088,802260,MISSISSIPPI
1093,818860,ATLANTIC SOUTH
1094,802262,MISSISSIPPI
1099,802259,MISSISSIPPI
1100,809151,VIRGINIA
1101,809152,VIRGINIA
1102,809153,Virginia
1103,802263,Mississippi
1104,802264,MISSISSIPPI
1105,805105,MISSISSIPPI
1106,805107,MISSISSIPPI
1109,809154,Virginia
1110,809155,Maryland
1111,793432,Louisiana
1112,795309,
1113,795311,Louisiana
1114,795312,Louisiana
1115,802267,Mississippi
1116,802268,Mississippi
1118,802261,Mississippi
1128,795313,GULF OF MEXICO
1129,795314,GULF OF MEXICO
1130,795315,GULF OF MEXICO
1131,795316,GULF OF MEXICO
1132,818869,ATLANTIC SOUTH
1133,818875,ATLANTIC SOUTH
1135,802275,ARKANSAS
1136,805104,MISSISSIPPI
1137,804301,GULF OF MEXICO
1143,818877,ATLANTIC SOUTH
1144,819061,ATLANTIC SOUTH
1155,795299,Florida
1156,795300,Florida
1157,793439,West Virginia
1158,791996,Kentucky
1169,805121,California
1182,805122,California
1213,805123,California
1237,794543,Florida
1238,794544,Florida
1239,794545,Florida
1240,794546,Florida
1245,794547,GULF OF MEXICO
1246,795291,Florida
1251,795292,Florida
1252,795297,Florida
1253,795298,Florida
1259,823525,Louisiana
1260,823528,LOUISIANA
1261,823526,LOUISIANA
1270,823529,Louisiana
1271,823530,LOUISIANA
1273,823531,LOUISIANA
1276,819063,ATLANTIC SOUTH
1277,823527,LOUISIANA
1280,796427,OHIO
1281,823533,LOUISIANA
1282,826730,FLORIDA
1284,819062,ATLANTIC SOUTH
1285,819065,ATLANTIC SOUTH
1286,823532,LOUISIANA
1287,823534,LOUISIANA
1288,819064,ATLANTIC SOUTH
1289,826731,FLORIDA
1290,826732,FLORIDA
1291,823524,LOUISIANA
1292,861587,TEXAS
1293,861588,TEXAS
1294,861589,TEXAS
1295,862595,TEXAS
1296,861576,TEXAS
1298,863136,TEXAS
1300,823541,LOUISIANA
