,EVENT_ID,COUNTY
693,819881,SAN DIEGO
694,810272,KNOX
695,810276,HAMBLEN
696,810283,HAWKINS
697,810289,GREENE
717,820161,BLAINE
718,820179,BLAINE
720,819309,GOVE
721,819310,GRAHAM
722,819311,GRAHAM
723,819714,YUMA
724,819715,YUMA
728,840227,PERRY
729,840228,PERRY
730,840229,WASHINGTON
731,840230,PERRY
732,840232,MORGAN
733,840233,WASHINGTON
734,840235,ATHENS
735,840236,ATHENS
736,813051,HOLT
737,813052,HOLT
740,813053,LOGAN
741,813054,LINCOLN
744,813204,CUSTER
745,813055,LINCOLN
747,813202,WHEELER
748,813056,LINCOLN
754,813205,CUSTER
755,813206,ROCK
756,813207,ROCK
760,810389,BLOUNT
766,813208,BOYD
769,814243,BERGEN
775,814248,BERGEN
776,814251,ESSEX
777,814258,Suffolk
782,813032,CUSTER
788,826726,DUVAL
789,813022,BOYD
794,813026,BOYD
797,813038,CUSTER
798,813039,CUSTER
799,800012,HONOLULU
804,813041,CUSTER
805,800014,MAUI
822,827466,MCLEAN
872,834646,CURRY
873,834650,COLFAX
878,836541,QUAY
879,836543,QUAY
907,801697,CHOCTAW
908,852651,Charlevoix
909,813043,CUSTER
910,852653,Chippewa
917,852654,Chippewa
930,852652,Emmet
931,813044,GARFIELD
932,813045,GARFIELD
936,852674,Chippewa
941,852650,Presque Isle
953,861579,NAVARRO
954,852677,Benzie
960,801698,CHOCTAW
968,852679,Manistee
969,833040,SANTA FE
976,822766,GREENE
977,800020,HAWAII
978,856251,STORY
982,801700,LOWNDES
984,800017,MAUI
985,800018,HAWAII
986,800015,HAWAII
988,859282,POLK
989,800016,MAUI
990,825695,CIMARRON
991,800019,HAWAII
992,809140,FAIRFAX
993,809141,FAIRFAX
994,809142,FAIRFAX
995,809143,FAIRFAX
996,809144,FAIRFAX
1004,802258,CHOCTAW
1017,809134,FAIRFAX
1018,809135,FAIRFAX
1019,809139,FAIRFAX
1024,809113,BERKELEY
1025,809114,PRINCE WILLIAM
1026,809116,PRINCE WILLIAM
1027,809125,PRINCE WILLIAM
1054,799117,Hillsborough
1055,826727,DUVAL
1056,826728,DUVAL
1057,826729,DUVAL
1058,802265,NESHOBA
1059,802266,NESHOBA
1060,802270,JASPER
1061,802271,LAUDERDALE
1062,802273,BOLIVAR
1065,818859,Indian River
1069,802274,BOLIVAR
1088,802260,CLAY
1093,818860,Brevard
1094,802262,LOWNDES
1099,802259,OKTIBBEHA
1100,809151,FAIRFAX
1101,809152,PRINCE WILLIAM
1102,809153,PRINCE WILLIAM
1103,802263,LOWNDES
1104,802264,LOWNDES
1105,805105,HINDS
1106,805107,MADISON
1109,809154,FAIRFAX
1110,809155,MONTGOMERY
1111,793432,Orleans
1112,795309,
1113,795311,Jefferson
1114,795312,Plaquemines
1115,802267,KEMPER
1116,802268,SCOTT
1118,802261,CLAY
1128,795313,Plaquemines
1129,795314,Plaquemines
1130,795315,
1131,795316,
1132,818869,Brevard
1133,818875,Brevard
1135,802275,CHICOT
1136,805104,KEMPER
1137,804301,Manatee
1143,818877,Martin
1144,819061,Martin
1155,795299,ALACHUA
1156,795300,PUTNAM
1157,793439,RANDOLPH
1158,791996,ROCKCASTLE
